Age,Maximum,Mean,CImin,CImax
18,9,9,9,9
17,9,8.3406,5,9
16,7,6.5014,5,7
15,NA,NA,NA,NA
14,9,9,9,9
13,9,8.3962,5,9
12,8,7.0084,4,8
11,5,4.7645,2.727341367,5
10,8,7.855,3,8
9,8,7.9248,4,8
8,7,6.4828,5,7
7,6,5.5775,4,6
6,5,3.9117,1,5
5,2,1.9637,1,2
4,5,4.5282,2,5
3,5,4.5532,2,5
2,4,3.5827,2,4
1,4,3.3833,1,4
