Bin,Max.age,Min.age,Age,Brachydonts,Hypsodonts
1,30,28,29,3,0
2,29,27,28,3,0
3,23,21,22,5,0
4,22,20,21,5,0
5,21,19,20,14,1
6,20,18,19,14,1
7,19,17,18,13,2
8,18,16,17,14,2
9,17,15,16,14,2
10,15,13,14,10,5
11,14,12,13,10,8
12,13,11,12,7,8
13,12,10,11,3,3
14,11,9,10,8,9
15,10,8,9,8,9
16,9,7,8,4,4
17,8,6,7,5,12
18,7,5,6,5,12
19,6,4,5,4,11
20,5,3,4,5,17
21,4,2,3,5,17
22,3,1,2,2,14
23,2,0,1,2,18
