Bin,Max.age,Min.age,Age,Brachydonts,Hypsodonts
1,19,17,18,9,1
2,18,16,17,9,2
3,17,15,16,7,2
4,15,13,14,9,5
5,14,12,13,9,6
6,13,11,12,8,6
7,12,10,11,5,6
8,11,9,10,8,11
9,10,8,9,8,11
10,9,7,8,7,19
11,8,6,7,6,19
12,7,5,6,5,14
13,6,4,5,2,7
14,5,3,4,5,8
15,4,2,3,5,8
16,3,1,2,4,7
17,2,0,1,4,12
