Age,Maximum,Mean,CImin,CImax
31,2,2,2,2
30,2,2,2,2
29,NA,NA,NA,NA
28,NA,NA,NA,NA
27,5,5,5,5
26,9,8.012,5,9
25,9,9,9,9
24,6,6,6,6
23,6,6,6,6
22,6,6,6,6
21,6,6,6,6
20,9,9,9,9
19,15,13.1253,6,15
18,15,12.777,6,15
17,13,13,13,13
16,13,12.8764,10,13
15,13,12.2575,10,13
14,NA,NA,NA,NA
13,14,11.5932,4,14
12,14,11.6312,4,14
11,3,3,3,3
10,12,10.6248,3,12
9,12,10.6174,2,12
8,5,3.8488,1,5
7,NA,NA,NA,NA
6,2,2,2,2
5,2,2,2,2
4,7,6.06,2,7
3,7,5.847,2,7
2,2,2,2,2
1,4,3.6017,2,4
